"","Sample","refl","Species","MOTE.Fragment","Replicate","Tank","Symb","uniq","stat"
"1","F1R","F1","Apal",58,1,"outdoor","D","Apal-58-1","Apal"
"2","F2","F2","Apal",24,1,"outdoor","D","Apal-24-1","Apal"
"3","F3","F3","Apal",33,1,"outdoor","D","Apal-33-1","Apal"
"4","F4","F4","Apal",68,1,"outdoor","D","Apal-68-1","Apal"
"5","F5","F5","Apal",85,1,"outdoor","D","Apal-85-1","Apal"
"6","F6","F6","Apal",8,1,"outdoor","C","Apal-8-1","Apal"
"7","F7","F7","Apal",58,2,"outdoor","D","Apal-58-2","Apal"
"8","F8R","F8","Apal",13,1,"outdoor","C","Apal-13-1","Apal"
"9","F9","F9","Apal",14,1,"outdoor","D","Apal-14-1","Apal"
"10","F10","F10","Apal",7,1,"outdoor","D","Apal-7-1","Apal"
"11","F11","F11","Apal",5,1,"outdoor","D","Apal-5-1","Apal"
"12","F12","F12","Apal",58,3,"outdoor","D","Apal-58-3","Apal"
"13","F13","F13","Apal",20,1,"outdoor","D","Apal-20-1","Apal"
"14","F14","F14","Apal",58,4,"outdoor","D","Apal-58-4","Apal"
"15","F15","F15","Apal",58,5,"outdoor","D","Apal-58-5","Apal"
"16","F16","F16","Pstr",1,1,"outdoor","D","Pstr-1-1","Pstr"
"17","F17","F17","Pstr",1,2,"outdoor","D","Pstr-1-2","Pstr"
"18","F18","F18","Pstr",1,3,"outdoor","D","Pstr-1-3","Pstr"
"19","F19","F19","Pstr",1,4,"outdoor","D","Pstr-1-4","Pstr"
"20","F20","F20","Pstr",1,5,"outdoor","D","Pstr-1-5","Pstr"
"21","F21","F21","Pstr",2,1,"outdoor","D","Pstr-2-1","Pstr"
"22","F22","F22","Pstr",3,1,"outdoor","D","Pstr-3-1","Pstr"
"23","F23R","F23","Pstr",4,1,"outdoor","D","Pstr-4-1","Pstr"
"24","F24","F24","Pstr",5,1,"outdoor","D","Pstr-5-1","Pstr"
"25","F25","F25","Pstr",6,1,"outdoor","D","Pstr-6-1","Pstr"
"26","F26","F26","Pstr",7,1,"outdoor","D","Pstr-7-1","Pstr"
"27","F27","F27","Pstr",8,1,"outdoor","D","Pstr-8-1","Pstr"
"28","F28","F28","Pstr",9,1,"outdoor","D","Pstr-9-1","Pstr"
"29","F29","F29","Pstr",10,1,"outdoor","D","Pstr-10-1","Pstr"
"30","F30","F30","Sint",6,1,"outdoor","C","Sint-6-1","Sint"
"31","F31R","F31","Sint",6,2,"outdoor","C","Sint-6-2","Sint"
"32","F32","F32","Sint",6,3,"outdoor","C","Sint-6-3","Sint"
"33","F33","F33","Sint",6,4,"outdoor","C","Sint-6-4","Sint"
"34","F34","F34","Sint",6,5,"outdoor","C","Sint-6-5","Sint"
"35","F35","F35","Sint",4,1,"outdoor","A","Sint-4-1","Sint"
"36","F36","F36","Sint",3,1,"outdoor","A","Sint-3-1","Sint"
"37","F37","F37","Sint",2,1,"outdoor","A","Sint-2-1","Sint"
"38","F38","F38","Sint",1,1,"outdoor","C","Sint-1-1","Sint"
"39","F39","F39","Ssid",1,1,"outdoor","D","Ssid-1-1","Ssid"
"40","F40","F40","Ssid",2,1,"outdoor","D","Ssid-2-1","Ssid"
"41","F41","F41","Ssid",6,1,"outdoor","D","Ssid-6-1","Ssid"
"42","F42","F42","Ssid",7,1,"outdoor","D","Ssid-7-1","Ssid"
"43","F43","F43","Ssid",8,1,"outdoor","D","Ssid-8-1","Ssid"
"44","F44","F44","Ssid",9,1,"outdoor","D","Ssid-9-1","Ssid"
"45","F45","F45","Ssid",11,1,"outdoor","D","Ssid-11-1","Ssid"
"46","F46","F46","Ssid",12,1,"outdoor","D","Ssid-12-1","Ssid"
"47","F47","F47","Ssid",19,1,"outdoor","D","Ssid-19-1","Ssid"
"48","F48R","F48","Ssid",20,1,"outdoor","D","Ssid-20-1","Ssid"
"49","F49","F49","Ssid",16,1,"outdoor","D","Ssid-16-1","Ssid"
"50","F50","F50","Ssid",16,2,"outdoor","D","Ssid-16-2","Ssid"
"51","F51","F51","Ssid",16,3,"outdoor","D","Ssid-16-3","Ssid"
"52","F52","F52","Ssid",16,4,"outdoor","D","Ssid-16-4","Ssid"
"53","F53","F53","Ssid",16,5,"outdoor","D","Ssid-16-5","Ssid"
"54","F54","F54","Pcliv",6,1,"outdoor","B","Pcliv-6-1","Pcliv"
"55","F55","F55","Pcliv",5,1,"outdoor","B","Pcliv-5-1","Pcliv"
"56","F56","F56","Pcliv",3,1,"outdoor","B","Pcliv-3-1","Pcliv"
"57","F57","F57","Pcliv",1,1,"outdoor","B","Pcliv-1-1","Pcliv"
"58","F58","F58","Pcliv",2,1,"outdoor","B","Pcliv-2-1","Pcliv"
"59","F59","F59","Pcliv",7,1,"outdoor","B","Pcliv-7-1","Pcliv"
"60","F60","F60","Pcliv",8,1,"outdoor","B","Pcliv-8-1","Pcliv"
"61","F61","F61","Pcliv",9,1,"outdoor","B","Pcliv-9-1","Pcliv"
"62","F62","F62","Pcliv",12,1,"outdoor","B","Pcliv-12-1","Pcliv"
"63","F63","F63","Pcliv",14,1,"outdoor","B","Pcliv-14-1","Pcliv"
"64","F64","F64","Pcliv",17,1,"outdoor","B","Pcliv-17-1","Pcliv"
"65","F65","F65","Pcliv",17,2,"outdoor","B","Pcliv-17-2","Pcliv"
"66","F66","F66","Pcliv",17,3,"outdoor","B","Pcliv-17-3","Pcliv"
"67","F67","F67","Pcliv",17,4,"outdoor","B","Pcliv-17-4","Pcliv"
"68","F68","F68","Pcliv",17,5,"outdoor","B","Pcliv-17-5","Pcliv"
"69","F69","F69","Mcav",11,1,"indoor","C","Mcav-11-1","Mcav"
"70","F70","F70","Mcav",11,2,"indoor","C","Mcav-11-2","Mcav"
"71","F71","F71","Mcav",11,3,"indoor","C","Mcav-11-3","Mcav"
"72","F72","F72","Mcav",11,4,"indoor","C","Mcav-11-4","Mcav"
"73","F73","F73","Mcav",11,5,"indoor","C","Mcav-11-5","Mcav"
"74","F74","F74","Mcav",4,1,"indoor","A","Mcav-4-1","Mcav"
"75","F75","F75","Mcav",33,1,"indoor","C","Mcav-33-1","Mcav"
"76","F76","F76","Mcav",34,1,"indoor","C","Mcav-34-1","Mcav"
"77","F77","F77","Mcav",1,1,"indoor","C","Mcav-1-1","Mcav"
"78","F78","F78","Mcav",56,1,"indoor","C","Mcav-56-1","Mcav"
"79","F79","F79","Mcav",57,1,"indoor","C","Mcav-57-1","Mcav"
"80","F80","F80","Mcav",58,1,"indoor","C","Mcav-58-1","Mcav"
"81","F81","F81","Mcav",59,1,"indoor","C","Mcav-59-1","Mcav"
"82","F82","F82","Mcav",60,1,"indoor","C","Mcav-60-1","Mcav"
"83","F83","F83","Mcav",61,1,"indoor","C","Mcav-61-1","Mcav"
"84","F84","F84","Ofav",52,1,"outdoor","D","Ofav-52-1","Ofav"
"85","F85","F85","Ofav",51,1,"outdoor","D","Ofav-51-1","Ofav"
"86","F86","F86","Ofav",483,1,"outdoor","D","Ofav-483-1","Ofav"
"87","F87","F87","Ofav",575,1,"outdoor","D","Ofav-575-1","Ofav"
"88","F88","F88","Ofav",1,1,"outdoor","D","Ofav-1-1","Ofav"
"89","F89","F89","Ofav",57,1,"outdoor","D","Ofav-57-1","Ofav"
"90","F90","F90","Ofav",58,1,"outdoor","D","Ofav-58-1","Ofav"
"91","F91","F91","Ofav",132,1,"outdoor","D","Ofav-132-1","Ofav"
"92","F92","F92","Ofav",61,1,"outdoor","D","Ofav-61-1","Ofav"
"93","F93","F93","Ofav",56,1,"outdoor","D","Ofav-56-1","Ofav"
"94","F94","F94","Ofav",56,2,"outdoor","D","Ofav-56-2","Ofav"
"95","F95","F95","Ofav",56,3,"outdoor","D","Ofav-56-3","Ofav"
"96","F96","F96","Ofav",56,4,"outdoor","D","Ofav-56-4","Ofav"
"97","F97","F97","Ofav",56,5,"outdoor","D","Ofav-56-5","Ofav"
